record_id,country,emirate,admin_region,city_town,area_name,area_type,parent_area,slug,source_url
UAE-0018,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shams Abu Dhabi,master community,Al Reem Island,shams-abu-dhabi-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0019,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Najmat Abu Dhabi,master community,Al Reem Island,najmat-abu-dhabi-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0020,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Maryah Island,island,,al-maryah-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0021,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Saadiyat Island,island,,saadiyat-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0022,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Saadiyat Cultural District,cultural district,Saadiyat Island,saadiyat-cultural-district-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0023,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Yas Island,island,,yas-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0024,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Yas Acres,villa community,Yas Island,yas-acres-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0025,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Jubail Island,island,,jubail-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0026,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Raha Beach,waterfront community,,al-raha-beach-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0027,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Bandar,waterfront community,Al Raha Beach,al-bandar-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0028,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Muneera,waterfront community,Al Raha Beach,al-muneera-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0029,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Zeina,waterfront community,Al Raha Beach,al-zeina-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0030,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Raha Gardens,villa community,,al-raha-gardens-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0031,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Khalifa City,suburban district,,khalifa-city-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0032,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shakhbout City,suburban district,,shakhbout-city-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0033,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Mohammed Bin Zayed City,suburban district,,mohammed-bin-zayed-city-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0034,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Baniyas,suburban district,,baniyas-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0035,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Madinat Al Riyadh,suburban district,,madinat-al-riyadh-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0036,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Falah,suburban district,,al-falah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0037,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Bahia,coastal suburb,,al-bahia-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0038,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Shahama,coastal suburb,,al-shahama-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0039,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Samha,town,,al-samha-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0040,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Rahba,town,,al-rahba-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0041,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Sas Al Nakhl,residential district,,sas-al-nakhl-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0042,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Masdar City,master community,,masdar-city-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0043,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Reef,master community,,al-reef-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0044,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Mussafah,industrial district,,mussafah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0045,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Mussafah Shabiya,residential district,Mussafah,mussafah-shabiya-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0046,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,ICAD,industrial zone,Mussafah,icad-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0047,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Shamkha,suburban district,,al-shamkha-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0048,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Shawamekh,suburban district,,al-shawamekh-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0049,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Al Wathba,desert district,,al-wathba-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0050,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Mussafah Industrial Area 1,industrial zone,Mussafah,mussafah-industrial-area-1-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0051,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Mussafah Industrial Area 2,industrial zone,Mussafah,mussafah-industrial-area-2-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0052,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Mussafah Industrial Area 3,industrial zone,Mussafah,mussafah-industrial-area-3-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0053,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Mussafah Industrial Area 4,industrial zone,Mussafah,mussafah-industrial-area-4-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0054,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 1,residential sector,Mussafah,shabiya-1-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0055,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 2,residential sector,Mussafah,shabiya-2-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0056,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 3,residential sector,Mussafah,shabiya-3-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0057,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 4,residential sector,Mussafah,shabiya-4-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0058,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 5,residential sector,Mussafah,shabiya-5-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0059,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 6,residential sector,Mussafah,shabiya-6-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0060,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 7,residential sector,Mussafah,shabiya-7-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0061,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 8,residential sector,Mussafah,shabiya-8-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0062,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 9,residential sector,Mussafah,shabiya-9-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0063,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 10,residential sector,Mussafah,shabiya-10-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0064,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 11,residential sector,Mussafah,shabiya-11-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0065,United Arab Emirates,Abu Dhabi,Capital Region,Abu Dhabi,Shabiya 12,residential sector,Mussafah,shabiya-12-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0066,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Ain,city,,al-ain-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0067,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Ain Oasis,oasis,Al Ain,al-ain-oasis-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0068,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Hili,district,Al Ain,al-hili-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0069,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Jimi,district,Al Ain,al-jimi-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0070,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Muwaiji,district,Al Ain,al-muwaiji-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0071,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Zakher,district,Al Ain,zakher-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0072,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Maqam,district,Al Ain,al-maqam-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0073,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Towayya,district,Al Ain,al-towayya-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0074,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Foah,district,Al Ain,al-foah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0075,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Yahar,district,Al Ain,al-yahar-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0076,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Qattara,district,Al Ain,al-qattara-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0077,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Mutaredh,district,Al Ain,al-mutaredh-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0078,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Falaj Hazza,district,Al Ain,falaj-hazza-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0079,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Asharej,district,Al Ain,asharej-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0080,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Khabisi,district,Al Ain,al-khabisi-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0081,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Neima,district,Al Ain,neima-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0082,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Noud,district,Al Ain,al-noud-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0083,United Arab Emirates,Abu Dhabi,Al Ain Region,Al Ain,Al Hayer,town,Al Ain Region,al-hayer-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0084,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Madinat Zayed,Madinat Zayed,town,,madinat-zayed-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0085,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Ruwais,Ruwais,industrial town,,ruwais-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0086,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Mirfa,Mirfa,town,,mirfa-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0087,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Liwa,Liwa Oasis,oasis,,liwa-oasis-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0088,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Ghayathi,Ghayathi,town,,ghayathi-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0089,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Al Sila,Al Sila,border town,,al-sila-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0090,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Dalma Island,Dalma Island,island,,dalma-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0091,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Sir Bani Yas Island,Sir Bani Yas Island,island,,sir-bani-yas-island-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0092,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Tarif,Tarif,town,,tarif-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0093,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Habshan,Habshan,industrial area,,habshan-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0094,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Jebel Dhanna,Jebel Dhanna,port town,,jebel-dhanna-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0095,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Baynunah,Baynunah,settlement,,baynunah-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0096,United Arab Emirates,Abu Dhabi,Al Dhafra Region,Bu Hasa,Bu Hasa,energy area,,bu-hasa-abu-dhabi,https://www.dmt.gov.ae/en/adm
UAE-0097,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Deira,historic district,,deira-dubai,https://www.dm.gov.ae/
UAE-0098,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Rigga,district,Deira,al-rigga-dubai,https://www.dm.gov.ae/
UAE-0099,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Muraqqabat,district,Deira,al-muraqqabat-dubai,https://www.dm.gov.ae/
UAE-0100,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Naif,district,Deira,naif-dubai,https://www.dm.gov.ae/
UAE-0101,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Abu Hail,district,Deira,abu-hail-dubai,https://www.dm.gov.ae/
UAE-0102,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Hor Al Anz,district,Deira,hor-al-anz-dubai,https://www.dm.gov.ae/
UAE-0103,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Port Saeed,district,Deira,port-saeed-dubai,https://www.dm.gov.ae/
UAE-0104,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Garhoud,district,,al-garhoud-dubai,https://www.dm.gov.ae/
UAE-0105,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Mamzar,coastal district,,al-mamzar-dubai,https://www.dm.gov.ae/
UAE-0106,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Bur Dubai,historic district,,bur-dubai-dubai,https://www.dm.gov.ae/
UAE-0107,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Fahidi,heritage quarter,Bur Dubai,al-fahidi-dubai,https://www.dm.gov.ae/
UAE-0108,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Karama,district,,al-karama-dubai,https://www.dm.gov.ae/
UAE-0109,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Oud Metha,district,,oud-metha-dubai,https://www.dm.gov.ae/
UAE-0110,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Jaddaf,district,,al-jaddaf-dubai,https://www.dm.gov.ae/
UAE-0111,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Healthcare City,special district,Al Jaddaf,dubai-healthcare-city-dubai,https://www.dm.gov.ae/
UAE-0112,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Culture Village,waterfront district,Al Jaddaf,culture-village-dubai,https://www.dm.gov.ae/
UAE-0113,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Zabeel,urban district,,zabeel-dubai,https://www.dm.gov.ae/
UAE-0114,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Downtown Dubai,master community,,downtown-dubai-dubai,https://www.dm.gov.ae/
UAE-0115,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Business Bay,master community,,business-bay-dubai,https://www.dm.gov.ae/
UAE-0116,United Arab Emirates,Dubai,Dubai Municipality,Dubai,DIFC,financial district,,difc-dubai,https://www.dm.gov.ae/
UAE-0117,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Sheikh Zayed Road,corridor district,,sheikh-zayed-road-dubai,https://www.dm.gov.ae/
UAE-0118,United Arab Emirates,Dubai,Dubai Municipality,Dubai,City Walk,urban district,Al Wasl,city-walk-dubai,https://www.dm.gov.ae/
UAE-0119,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Wasl,district,,al-wasl-dubai,https://www.dm.gov.ae/
UAE-0120,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Safa,district,,al-safa-dubai,https://www.dm.gov.ae/
UAE-0121,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jumeirah 1,district,Jumeirah,jumeirah-1-dubai,https://www.dm.gov.ae/
UAE-0122,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jumeirah 2,district,Jumeirah,jumeirah-2-dubai,https://www.dm.gov.ae/
UAE-0123,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jumeirah 3,district,Jumeirah,jumeirah-3-dubai,https://www.dm.gov.ae/
UAE-0124,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Umm Suqeim 1,district,Umm Suqeim,umm-suqeim-1-dubai,https://www.dm.gov.ae/
UAE-0125,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Umm Suqeim 2,district,Umm Suqeim,umm-suqeim-2-dubai,https://www.dm.gov.ae/
UAE-0126,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Umm Suqeim 3,district,Umm Suqeim,umm-suqeim-3-dubai,https://www.dm.gov.ae/
UAE-0127,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Sufouh 1,district,Al Sufouh,al-sufouh-1-dubai,https://www.dm.gov.ae/
UAE-0128,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Sufouh 2,district,Al Sufouh,al-sufouh-2-dubai,https://www.dm.gov.ae/
UAE-0129,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Marina,waterfront district,,dubai-marina-dubai,https://www.dm.gov.ae/
UAE-0130,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jumeirah Beach Residence,waterfront district,Dubai Marina,jumeirah-beach-residence-dubai,https://www.dm.gov.ae/
UAE-0131,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Bluewaters Island,island,,bluewaters-island-dubai,https://www.dm.gov.ae/
UAE-0132,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Palm Jumeirah,island,,palm-jumeirah-dubai,https://www.dm.gov.ae/
UAE-0133,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Harbour,waterfront district,,dubai-harbour-dubai,https://www.dm.gov.ae/
UAE-0134,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jumeirah Lake Towers,master community,,jumeirah-lake-towers-dubai,https://www.dm.gov.ae/
UAE-0135,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Emirates Hills,villa community,,emirates-hills-dubai,https://www.dm.gov.ae/
UAE-0136,United Arab Emirates,Dubai,Dubai Municipality,Dubai,The Meadows,villa community,,the-meadows-dubai,https://www.dm.gov.ae/
UAE-0137,United Arab Emirates,Dubai,Dubai Municipality,Dubai,The Springs,villa community,,the-springs-dubai,https://www.dm.gov.ae/
UAE-0138,United Arab Emirates,Dubai,Dubai Municipality,Dubai,The Lakes,villa community,,the-lakes-dubai,https://www.dm.gov.ae/
UAE-0139,United Arab Emirates,Dubai,Dubai Municipality,Dubai,The Greens,residential community,,the-greens-dubai,https://www.dm.gov.ae/
UAE-0140,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Barsha Heights,mixed-use community,,barsha-heights-dubai,https://www.dm.gov.ae/
UAE-0141,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Barsha 1,district,Al Barsha,al-barsha-1-dubai,https://www.dm.gov.ae/
UAE-0142,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Barsha 2,district,Al Barsha,al-barsha-2-dubai,https://www.dm.gov.ae/
UAE-0143,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Barsha 3,district,Al Barsha,al-barsha-3-dubai,https://www.dm.gov.ae/
UAE-0144,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Al Barsha South,district,Al Barsha,al-barsha-south-dubai,https://www.dm.gov.ae/
UAE-0145,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Motor City,master community,,motor-city-dubai,https://www.dm.gov.ae/
UAE-0146,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Arabian Ranches,villa community,,arabian-ranches-dubai,https://www.dm.gov.ae/
UAE-0147,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Arabian Ranches 2,villa community,Arabian Ranches,arabian-ranches-2-dubai,https://www.dm.gov.ae/
UAE-0148,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Arabian Ranches 3,villa community,Arabian Ranches,arabian-ranches-3-dubai,https://www.dm.gov.ae/
UAE-0149,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Sports City,master community,,dubai-sports-city-dubai,https://www.dm.gov.ae/
UAE-0150,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jumeirah Village Circle,master community,,jumeirah-village-circle-dubai,https://www.dm.gov.ae/
UAE-0151,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Jumeirah Village Triangle,master community,,jumeirah-village-triangle-dubai,https://www.dm.gov.ae/
UAE-0152,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Production City,special district,,dubai-production-city-dubai,https://www.dm.gov.ae/
UAE-0153,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Studio City,special district,,dubai-studio-city-dubai,https://www.dm.gov.ae/
UAE-0154,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Science Park,special district,,dubai-science-park-dubai,https://www.dm.gov.ae/
UAE-0155,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Dubai Hills Estate,master community,,dubai-hills-estate-dubai,https://www.dm.gov.ae/
UAE-0156,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Nad Al Sheba 1,district,Nad Al Sheba,nad-al-sheba-1-dubai,https://www.dm.gov.ae/
UAE-0157,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Nad Al Sheba 2,district,Nad Al Sheba,nad-al-sheba-2-dubai,https://www.dm.gov.ae/
UAE-0158,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Nad Al Sheba 3,district,Nad Al Sheba,nad-al-sheba-3-dubai,https://www.dm.gov.ae/
UAE-0159,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Nad Al Sheba 4,district,Nad Al Sheba,nad-al-sheba-4-dubai,https://www.dm.gov.ae/
UAE-0160,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Meydan,master community,,meydan-dubai,https://www.dm.gov.ae/
UAE-0161,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Mohammed Bin Rashid City,master community,,mohammed-bin-rashid-city-dubai,https://www.dm.gov.ae/
UAE-0162,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Sobha Hartland,master community,Mohammed Bin Rashid City,sobha-hartland-dubai,https://www.dm.gov.ae/
UAE-0163,United Arab Emirates,Dubai,Dubai Municipality,Dubai,International City,master community,,international-city-dubai,https://www.dm.gov.ae/
UAE-0164,United Arab Emirates,Dubai,Dubai Municipality,Dubai,Warsan,district,,warsan-dubai,https://www.dm.gov.ae/
